committee_id,committee_name,report_year,file_number,payee_name,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,support_oppose_indicator,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,candidate_party,election_type,election_type_full
C00487470,CLUB FOR GROWTH ACTION,2022,1591157,CLUB FOR GROWTH,RADIO AD PRODUCTION (FROM ADVANCE LINE 21),4/29/22 0:00,4/29/22 0:00,179.11,O,H2NC04200,"DAUGHTRY, KELLY",H,NC,13,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1526645,ADVICTORY LLC,"DIGITAL AD PLACEMENT, PRODUCTION",7/14/21 0:00,7/14/21 0:00,11500,O,H8TX06266,"ELLZEY, JOHN KEVIN SR",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2022,1617240,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),7/18/22 0:00,7/18/22 0:00,203.26,O,H2MO07168,"WASSON, JAY",H,MO,7,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1531651,CLUB FOR GROWTH,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),7/28/21 0:00,7/28/21 0:00,10.17,O,H6WY00159,"CHENEY, ELIZABETH MRS.",H,WY,1,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1591731,"THE STONERIDGE GROUP, LLC","MAIL PRODUCTION, POSTAGE",4/28/22 0:00,5/2/22 0:00,12664.68,O,H0WV01072,"MCKINLEY, DAVID B. MR.",H,WV,2,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1602266,COLD SPARK MEDIA,"MAIL PRODUCTION, POSTAGE",6/9/22 0:00,6/14/22 0:00,11693.07,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1601031,PRIME MEDIA PARTNERS,TV AD PRODUCTION,6/6/22 0:00,6/9/22 0:00,9471,O,S2AZ00331,"LAMON, JIM MR",S,AZ,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1523743,RIGHT COUNTRY LISTS,EMAIL COSTS,7/7/21 0:00,7/7/21 0:00,2550,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2021,1521848,WARFIELD AND COMPANY,TV AD PRODUCTION,6/28/21 0:00,6/29/21 0:00,8766,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2021,1537325,CLUB FOR GROWTH,TV AD PRODUCTION COSTS (FROM ADVANCE LINE 21),9/7/21 0:00,9/7/21 0:00,640.7,S,S2NC00505,"BUDD, THEODORE P",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1537326,CLUB FOR GROWTH,DIGITAL AD PRODUCTION COSTS (FROM ADVANCE LINE 21),9/8/21 0:00,9/8/21 0:00,174,S,S2NC00505,"BUDD, THEODORE P",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1523574,CLUB FOR GROWTH,MAIL PRODUCITON (FROM ADVANCE LINE 21),7/8/21 0:00,7/8/21 0:00,166.22,O,H2OH15129,"PETERSON, BOB",H,OH,15,REP,S2021,SPECIAL-PRIMARY
C00487470,CLUB FOR GROWTH ACTION,2022,1573525,CLUB FOR GROWTH,DIGITAL ADVERTISING (FROM ADVANCE LINE 21)`,3/10/22 0:00,3/10/22 0:00,350.48,O,S2NC00489,"MCCRORY, PATRICK LLOYD",S,NC,0,REP,P2022,
